legislation-tracker_2020
State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
Ohio,HB 513,Anti-Trans bills | Prohibiting heathcare for transgender youth,Advancing,Referred to committee,03/10/2020,
Ohio ,HB 369,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Carried over,10/22/2019,
Ohio,SB 11,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Carried over,02/19/2019,
Washington,HB 2201,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,01/13/2020,
West Virginia,HB 4564,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,01/28/2020,
West Virginia,HB 2985,Religious exemptions |  Religious Freedom Restoration Acts (RFRAs),Introduced,Referred to committee,01/08/2020,
West Virginia,HB 2733,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,01/08/2020,
West Virginia,HB 2741,LGBTQ Equality Bills | Nondiscrimination protections,,Motion to discharge rejected ,02/18/2020,
West Virginia,HB 2763,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,01/08/2020,
West Virginia,SB 211,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,01/09/2020,
Vermont,H 569,LGBTQ Equality Bills | Other good bills ,Introduced,Referred to committee,01/07/2020,
Colorado,HB 20-1114,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Postponed indefinitely by committee,02/13/2020,
Colorado,HB 1273,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Postponed indefinitely by committee,02/13/2020,
Colorado,HB 1033,Other religious exemption bills ,Introduced,Postponed indefinitely by committee,02/13/2020,
Florida,SB 1864,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Died in committee,03/14/2020,
Florida,HB 1365,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Died in committee,03/14/2020,
Florida,HB 161,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Died in committee,03/14/2020,
Florida,SB 206,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Died in committee,03/14/2020,
Georgia,HB 1060,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,,02/27/2020,
Georgia,HB 747,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Prefiled ,12/19/2019,
Georgia,SB 368,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,Referred to committee,02/18/2020,
Iowa,HF 2272/ SF 2213,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,02/07/2020,
Iowa,HF 2202,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,01/31/2020,
Iowa,HF 2164,Other anti-LGBTQ bills,Introduced,Referred to committee,01/29/2020,
Iowa,SF 508,Religious exemptions |  Religious Freedom Restoration Acts (RFRAs),Introduced,Subcommittee recommends passage,02/13/2020,
Iowa,HF 2273,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,02/07/2020,
Iowa,SF 2193,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,02/11/2020,
Iowa,SF 2194,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,02/11/2020,
Iowa,SF 2194,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,Referred to committee,02/11/2020,
Iowa,HF 2273,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,Carried over,02/07/2020,
Iowa,SF 2194,Other religious exemption bills ,Introduced,Referred to committee,02/11/2020,
Iowa,HF 2273,Other religious exemption bills ,Introduced,Referred to committee,02/07/2020,
Idaho,H 465,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,02/11/2020,
Idaho,HB 500,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Signed by speaker and president ,03/18/2020,
Idaho,H 509,Anti-Trans bills | Restrictions on Identification Documents,Introduced,Signed by speaker and president ,03/18/2020,
Idaho,SB 1387,LGBTQ Equality Bills | Allowing updated gender markers on ID,Introduced,Referred to committee,03/19/2020,
Kentucky,HB 321,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Referred to committee,01/28/2020,
Kentucky,HB 132,Anti-Trans bills | Single-Sex Facility Restrictions,Introduced,Posted in committee,02/21/2020,
Kentucky,SB 114,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Referred to committee,01/27/2020,
Kentucky,SB 90,Religious exemptions | Religious Exemptions in Healthcare Implicating LGBTQ People,Introduced,Referred to committee,03/17/2020,
Kentucky,HB 225,LGBTQ Equality Bills | Nondiscrimination protections,Introduced,Referred to committee,01/13/2020,
Missouri,HB 1721,Anti-Trans bills | Prohibiting heathcare for transgender youth,Introduced,Public hearing completed ,03/02/2020,
Missouri,HJR 82,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Public hearing conducted ,02/19/2020,
Missouri,SJR 50,Anti-Trans bills | Excluding transgender youth from athletics,Introduced,Hearing conducted ,02/25/2020,
Missouri,SB 988,Other anti-LGBTQ bills,Introduced,Referred to committee,03/05/2020,
Missouri,HB 2043,Religious exemptions | Religious Exemptions in Adoption & Foster Care,Introduced,Read second time,01/09/2020,
