State,Bill Name,Issues,Status ,Status Date ,In Court Link
AL ,SB 5,Anti-Trans ,Dead,4/7/22,
AL,HB 150,Anti-Trans ,Dead,4/7/22,
AL,SB 184,Anti-Trans ,Delivered to Governor,4/7/22,
AL,HB 266,Anti-Trans ,Dead,4/7/22,
AZ,SB 1045,Anti-Trans ,Dead,6/25/22,
AZ,HB 2608,Anti-Trans ,Dead,6/25/22,
AZ,SB 1138,Anti-Trans ,Signed by Governor ,3/30/22,
AZ,SB 1130,Anti-Trans ,Dead,6/25/22,
FL,HB 211,Anti-Trans ,Dead,3/14/22,
GA,HB 401,Anti-Trans ,Dead,4/2/22,
IA,HF 193,Anti-Trans ,Dead,5/24/22,
ID,H 675,Anti-Trans ,Dead,3/31/22,
IN,HB 1121,Anti-Trans ,Dead ,3/14/22,
IN,SB 34,Anti-Trans ,Dead,3/14/22,
KS,HB 2210,Anti-Trans ,Dead,5/23/22,
KS,SB 214,Anti-Trans ,Dead,5/23/22,
KY,HB 253,Anti-Trans ,Dead,4/14/22,
KY ,SB 84,Anti-Trans ,Dead ,4/14/22,
LA,HB 570,Anti-Trans ,Dead,6/6/22,
LA,HR 158,Anti-Trans ,Dead,6/6/22,
MI,HB 6454,Anti-Trans ,Introduced and Referred to Committee,10/11/22,
MO,HB 2649,Anti-Trans ,Dead,5/13/22,
MO,SB 22,Anti-Trans ,Dead,10/4/22,
MO,SB 843,Anti-Trans ,Dead,5/13/22,
MS,SB 2728,Anti-Trans ,Died in committee,2/1/22,
MS,HB 1147,Anti-Trans ,Died in committee,2/1/22,
NC ,SB 514,Anti-Trans ,Dead,7/1/22,
NJ,S 3076,Anti-Trans ,Introduced and Referred to Committee,9/29/22,
NH,HB 1651,Anti-Trans ,Dead,5/26/22,
OH ,HB 454,Anti-Trans ,Active,1/3/22,
OH,HB 616,Anti-Trans ,Referred to committee,5/17/22,
OK,SB 583,Anti-Trans ,Dead,5/27/22,
OK,SB 676,Anti-Trans ,Dead,5/27/22,
OK,HB 3240,Anti-Trans ,Dead ,5/27/22,
SC,HB 4047,Anti-Trans ,Dead,5/12/22,
TN ,SB 657,Anti-Trans ,Dead,4/28/22,
TN,HB 578,Anti-Trans ,Dead,4/28/22,
TN,HB 2835,Anti-Trans ,Dead,4/28/22,
TN,SB 2696,Anti-Trans ,Dead,4/28/22,
UT,HB 0127,Anti-Trans ,Dead,3/4/22,
WI,SB 915,Anti-Trans ,Failed to pass ,3/15/22,
WI ,AB 977,Anti-Trans ,Failed to pass ,3/15/22,
WV,HB 2171,Anti-Trans ,Dead,3/12/22,
AL,HB 322,Single-Sex Facility Restrictions ,Delievered to Governor,4/7/22,
AL,HR 83,Single-Sex Facility Restrictions ,Motion to adopt adopted ,2/22/22,
MN,HF 3843,Single-Sex Facility Restrictions ,Dead,5/23/22,
MS,SB 2679,Single-Sex Facility Restrictions ,Died in committee,2/1/22,
OK ,SB 1164,Single-Sex Facility Restrictions ,Dead,5/27/22,
OK,SB 1249,Single-Sex Facility Restrictions ,Dead,5/27/22,
OK,SB 615,Single-Sex Facility Restrictions ,Approved by Governor ,5/25/22,
SD ,HB 1005,Single-Sex Facility Restrictions ,Dead,3/28/22,
VA,HB 1126,Single-Sex Facility Restrictions ,Dead,3/12/22,
AK,HB 230,Excluding transgender youth from athletics ,Dead,5/18/22,
AZ,SB 1046,Excluding transgender youth from athletics ,Dead,6/25/22,
AZ,SB 1165,Excluding transgender youth from athletics ,Signed by Governor ,3/30/22,
DE,SB 227,Excluding transgender youth from athletics ,Dead,6/30/22,
DE,SB 346,Excluding transgender youth from athletics ,Dead,7/25/22,
GA,HB 276,Excluding transgender youth from athletics ,Dead ,4/4/22,
GA ,HB 372,Excluding transgender youth from athletics ,Dead,4/4/22,
GA,SB 266,Excluding transgender youth from athletics ,Dead,4/4/22,
GA,SB 435,Excluding transgender youth from athletics ,Dead,4/4/22,
HI,HB 1304,Excluding transgender youth from athletics ,Dead,5/5/22,
IA,HF 184,Excluding transgender youth from athletics ,Dead,5/24/22,
IA,HF 2309,Excluding transgender youth from athletics ,Withdrawn ,2/21/22,
IA,HF 2416,Excluding transgender youth from athletics ,Signed by Governor ,3/3/22,
IN,HB 1041,Excluding transgender youth from athletics ,Override of Governors veto,5/24/22,
KS,SB 208,Excluding transgender youth from athletics ,Died in committee,5/23/22,
KS,SB 484,Excluding transgender youth from athletics ,Died in committee,5/23/22,
KY,HB 23,Excluding transgender youth from athletics ,Dead,4/14/22,
KY,HB 247,Excluding transgender youth from athletics ,Dead,4/14/22,
KY,SB 83,Excluding transgender youth from athletics ,Veto overridden: delivered to Secretary of State,4/13/22,
LA,SB 44,Excluding transgender youth from athletics ,Became an act without Governor's signature ,6/6/22,
MD,HB 0757,Excluding transgender youth from athletics ,Dead,4/11/22,
MI,SB 218,Excluding transgender youth from athletics ,Active,1/12/22,
MN,HF 350,Excluding transgender youth from athletics ,Dead,3/12/22,
MN,HF 352,Excluding transgender youth from athletics ,Dead,3/12/22,
MN,HF 1657,Excluding transgender youth from athletics ,Dead,3/12/22,
MN,HF 4282,Excluding transgender youth from athletics ,Dead,3/12/22,
MO,SB 740,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,HB 2461,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,HB 2735,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,HB 2734,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,HB 2140,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,HB 1973,Excluding transgender youth from athletics ,Dead,5/13/22,
MO,SB 22,Excluding transgender youth from athletics ,Dead,10/4/22,
MO,SB 781,Excluding transgender youth from athletics ,Dead,5/13/22,
MS,SB 2111,Excluding transgender youth from athletics ,Died in committee,2/1/22,
MS,SB 2310,Excluding transgender youth from athletics ,Died in committee,2/1/22,
NH,HB 198,Excluding transgender youth from athletics ,Dead,5/26/22,
NJ,A 1630,Excluding transgender youth from athletics ,Introduced and Referred to Committee,1/11/22,
NJ,S 589,Excluding transgender youth from athletics ,Introduced and Referred to Committee,1/11/22,
OH,HB 61,Excluding transgender youth from athletics ,Active,1/3/22,
OH,SB 132,Excluding transgender youth from athletics ,Active,1/3/22,
OH,SB 187,Excluding transgender youth from athletics ,Active ,1/3/22,
OK,SB 331,Excluding transgender youth from athletics ,Dead,5/27/22,
OK,SB 2,Excluding transgender youth from athletics ,Signed by Governor ,3/30/22,
OK,HB 4245,Excluding transgender youth from athletics ,Dead,5/27/22,
PA,HB 972,Excluding transgender youth from athletics ,Vetoed by Governor,7/8/22,
