state,bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link,sponsor_names,sponsor_parties,primary_sponsor,sponsor_count,action_count,last_history_action,document_count,document_id,document_type,document_url,rollcall_count,total_yea,total_nay,year,r_sponsors,d_sponsors,other_sponsors,bill_dominant_party,passed,failed,vetoed,state_lean,r_sponsorship_ratio,pass_rate_gap,overall_pass_rate,bipartisan_ratio,session_year,label,label_source
AK,1398089,1796,HB17,1,Introduced,2021-02-18,Discrimination: Gender Id.;sexual Orient.,An Act adding to the powers and duties of the State Commission for Human Rights; and relating to and prohibiting discrimination based on sexual orientation or gender identity or expression.,2139,House State Affairs,2022-04-04,REFERRED TO STATE AFFAIRS,https://legiscan.com/AK/bill/HB17/2021,https://www.akleg.gov/basis/Bill/Detail/32?Root=HB17,Andrew Josephson | Grier Hopkins | Geran Tarr | Sara Hannan | Harriet Drummond | Calvin Schrage | Ivy Spohnholz | Jonathan Kreiss-Tomkins | Andrea Story | Liz Snyder | William Fields,D | D | D | D | D | N | D | D | D | D | D,Andrew Josephson,11,15,REFERRED TO STATE AFFAIRS,1,2232246,text,https://legiscan.com/AK/text/HB17/id/2232246,0,0,0,2021,0,10,1,D,False,False,False,Competitive,0.5283018867924528,0.025428571428571425,0.12373737373737374,0.03787878787878788,2021,supportive,aclu
AK,1549253,1796,HB230,1,Introduced,2022-01-18,Designate Sex For School-sponsored Sports,"An Act relating to school athletics, recreation, athletic teams, and sports.",2132,House Education,2022-04-07,COSPONSOR(S): MCCABE,https://legiscan.com/AK/bill/HB230/2021,https://www.akleg.gov/basis/Bill/Detail/32?Root=HB230,Thomas McKay | George Rauscher | Sara Rasmussen | Sarah Vance | Ron Gillham | Kevin McCabe,R | R | R | R | R | R,Thomas McKay,6,7,COSPONSOR(S): MCCABE,1,2468615,text,https://legiscan.com/AK/text/HB230/id/2468615,0,0,0,2022,6,0,0,R,False,False,False,Lean R,0.5699300699300699,-0.021048431343209134,0.2564102564102564,0.02564102564102564,2021,harmful,aclu
AK,1549202,1796,SB149,1,Introduced,2022-01-18,Discrimination: Gender Id.;sexual Orient.,An Act adding to the powers and duties of the State Commission for Human Rights; and relating to and prohibiting discrimination based on sexual orientation or gender identity or expression.,2149,Senate State Affairs,2022-01-18,REFERRED TO STATE AFFAIRS,https://legiscan.com/AK/bill/SB149/2021,https://www.akleg.gov/basis/Bill/Detail/32?Root=SB149,Elvi Gray-Jackson,D,Elvi Gray-Jackson,1,4,REFERRED TO STATE AFFAIRS,1,2468564,text,https://legiscan.com/AK/text/SB149/id/2468564,0,0,0,2022,0,1,0,D,False,False,False,Lean R,0.5699300699300699,-0.021048431343209134,0.2564102564102564,0.02564102564102564,2021,supportive,aclu
AK,1646385,2015,HB27,1,Introduced,2023-01-19,Designate Sex For School-sponsored Sports,"An Act relating to school athletics, recreation, athletic teams, and sports.",2132,House Education,2023-04-19,COSPONSOR(S): TOMASZEWSKI,https://legiscan.com/AK/bill/HB27/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB27,Thomas McKay | Frank Tomaszewski,R | R,Thomas McKay,2,5,COSPONSOR(S): TOMASZEWSKI,1,2626455,text,https://legiscan.com/AK/text/HB27/id/2626455,0,0,0,2023,2,0,0,R,False,False,False,Competitive,0.5414847161572053,0.03671274961597541,0.12968299711815562,0.040345821325648415,2023,harmful,aclu
AK,1730818,2015,HB105,1,Introduced,2023-03-08,Sex/reproduction Education; Schools,"An Act relating to parental rights in a child&#39;s education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date.",2133,House Finance,2024-05-06,REFERRED TO FINANCE,https://legiscan.com/AK/bill/HB105/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB105,Rules,,Rules,1,25,REFERRED TO FINANCE,3,2990343,text,https://legiscan.com/AK/text/HB105/id/2990343,0,0,0,2023,0,0,0,Other,False,False,False,Competitive,0.5414847161572053,0.03671274961597541,0.12968299711815562,0.040345821325648415,2023,harmful,aclu
AK,1758422,2015,HB174,1,Introduced,2023-04-24,State Fund Fiduc Duty:social/pol Interest,"An Act restricting fiduciary actions by a fiduciary of a state fund, the Alaska Retirement Management Board, and the Alaska Permanent Fund Corporation Board that have the purpose of furthering social, political, or ideological interests.",2133,House Finance,2024-02-26,COSPONSOR(S): MCKAY,https://legiscan.com/AK/bill/HB174/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB174,Kevin McCabe | Thomas McKay,R | R,Kevin McCabe,2,4,COSPONSOR(S): MCKAY,1,2789070,text,https://legiscan.com/AK/text/HB174/id/2789070,0,0,0,2023,2,0,0,R,False,False,False,Competitive,0.5414847161572053,0.03671274961597541,0.12968299711815562,0.040345821325648415,2023,harmful,aclu
AK,1760038,2015,HB183,2,Engrossed,2024-05-13,Designate Sex For School-sponsored Sports,"An Act relating to school athletics, recreation, athletic teams, and sports.",2142,Senate Education,2024-05-14,REFERRED TO EDUCATION,https://legiscan.com/AK/bill/HB183/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB183,Jamie Allard | Thomas McKay | Sarah Vance | Frank Tomaszewski | David Eastman,R | R | R | R | R,Jamie Allard,5,138,REFERRED TO EDUCATION,4,2996806,text,https://legiscan.com/AK/text/HB183/id/2996806,103,2087,2010,2024,5,0,0,R,False,False,False,Lean R,0.5962962962962963,-0.03173970026782154,0.18243243243243243,0.02252252252252252,2023,harmful,aclu
AK,1851023,2015,HB338,1,Introduced,2024-02-20,Phys Lblty: Gender Trans Procedure;minors,An Act relating to physician liability for gender transition procedures performed on minors; and providing for an effective date.,2138,House Rules,2024-04-18,REFERRED TO RULES,https://legiscan.com/AK/bill/HB338/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB338,Jamie Allard,R,Jamie Allard,1,8,REFERRED TO RULES,1,2934781,text,https://legiscan.com/AK/text/HB338/id/2934781,0,0,0,2024,1,0,0,R,False,False,False,Lean R,0.5962962962962963,-0.03173970026782154,0.18243243243243243,0.02252252252252252,2023,harmful,aclu
AK,1851103,2015,HB382,1,Introduced,2024-02-20,Education; Parent/teacher Rights,An Act relating to education; relating to the rights of the parents of public school students; relating to the rights of public school teachers; relating to the records of public school students; and providing for an effective date.,2132,House Education,2024-02-20,REFERRED TO EDUCATION,https://legiscan.com/AK/bill/HB382/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=HB382,Benjamin Carpenter,R,Benjamin Carpenter,1,3,REFERRED TO EDUCATION,1,2934862,text,https://legiscan.com/AK/text/HB382/id/2934862,0,0,0,2024,1,0,0,R,False,False,False,Lean R,0.5962962962962963,-0.03173970026782154,0.18243243243243243,0.02252252252252252,2023,harmful,aclu
AK,1730580,2015,SB96,1,Introduced,2023-03-08,Sex/reproduction Education; Schools,"An Act relating to parental rights in a child&#39;s education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date.",2145,Senate Judiciary,2023-03-08,REFERRED TO JUDICIARY,https://legiscan.com/AK/bill/SB96/2023,https://www.akleg.gov/basis/Bill/Detail/33?Root=SB96,Rules,,Rules,1,5,REFERRED TO JUDICIARY,1,2732844,text,https://legiscan.com/AK/text/SB96/id/2732844,0,0,0,2023,0,0,0,Other,False,False,False,Competitive,0.5414847161572053,0.03671274961597541,0.12968299711815562,0.040345821325648415,2023,harmful,aclu
AK,1927987,2171,HB40,1,Introduced,2025-01-22,Designate Sex For School-sponsored Sports,"An Act relating to school athletics, recreation, athletic teams, and sports.",2135,House Judiciary,2025-04-11,COSPONSOR(S): COSTELLO,https://legiscan.com/AK/bill/HB40/2025,https://www.akleg.gov/basis/Bill/Detail/34?Root=HB40,Jamie Allard | Jubilee Underwood | Sarah Vance | Mia Costello,R | R | R | R,Jamie Allard,4,6,COSPONSOR(S): COSTELLO,1,3065311,text,https://legiscan.com/AK/text/HB40/id/3065311,0,0,0,2025,4,0,0,R,False,False,False,Competitive,0.4809384164222874,-0.016329061595700703,0.10869565217391304,0.043478260869565216,2025,harmful,aclu
AL,1524515,1854,HB1,1,Introduced,2021-09-27,"Sentencing standards, to provide for resentencing of certain individuals convicted of nonviolent offenses, procedure for resentencing, Sec. 12-25-34.3 added.","Sentencing standards, to provide for resentencing of certain individuals convicted of nonviolent offenses, procedure for resentencing, Sec. 12-25-34.3 added.",0,,2021-09-29,Further Consideration,https://legiscan.com/AL/bill/HB1/2021/X1,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB1&WIN_TYPE=SELECTED_STATUS,Jim Hill,R,Jim Hill,1,5,Further Consideration,2,2434365,text,https://legiscan.com/AL/text/HB1/id/2434365,0,0,0,2021,1,0,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1524581,1854,SB5,1,Introduced,2021-09-28,"Community Development District, adjust rate of taxation on sale of alcholic beverages, Sec. 35-8B-1 am'd.","Community Development District, adjust rate of taxation on sale of alcholic beverages, Sec. 35-8B-1 am'd.",999,Senate Finance and Taxation General Fund,2021-09-28,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,https://legiscan.com/AL/bill/SB5/2021/X1,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB5&WIN_TYPE=SELECTED_STATUS,Garlan Gudger,R,Garlan Gudger,1,1,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,1,2434484,text,https://legiscan.com/AL/text/SB5/id/2434484,0,0,0,2021,1,0,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1528284,1857,HB1,4,Passed,2021-11-03,"U.S. Congressional, districts redrawn, Sec. 17-14-70 repealed; Sec. 17-14-70 added","U.S. Congressional, districts redrawn, Sec. 17-14-70 repealed; Sec. 17-14-70 added",0,,2021-11-03,"Forwarded to Governor at 3:23 p.m. on November 3, 2021.",https://legiscan.com/AL/bill/HB1/2021/X2,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB1&WIN_TYPE=SELECTED_STATUS,Chris Pringle,R,Chris Pringle,1,34,"Forwarded to Governor at 3:23 p.m. on November 3, 2021.",14,2447951,text,https://legiscan.com/AL/text/HB1/id/2447951,10,344,184,2021,1,0,0,R,True,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1528277,1857,SB5,1,Introduced,2021-10-28,"Public contracts, exemption from certain bid requirements for certain educational entities providing meals under the Child Nutrition Program, Secs. 16-13B-2.1, 41-16-51.2 added.","Public contracts, exemption from certain bid requirements for certain educational entities providing meals under the Child Nutrition Program, Secs. 16-13B-2.1, 41-16-51.2 added.",999,Senate Finance and Taxation General Fund,2021-10-28,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,https://legiscan.com/AL/bill/SB5/2021/X2,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB5&WIN_TYPE=SELECTED_STATUS,Jack Williams | Greg Albritton | William Beasley | Tom Butler | Clyde Chambliss | Donnie Chesteen | Chris Elliott | Vivian Figures | Garlan Gudger | Tim Melson | Randy Price | Dan Roberts | Malika Sanders-Fortier | Clay Scofield | David Sessions | Bobby Singleton | Rodger Smitherman | April Weaver,R | R | D | R | R | R | R | D | R | R | R | R | D | R | R | D | D | R,Jack Williams,18,1,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,1,2439740,text,https://legiscan.com/AL/text/SB5/id/2439740,0,0,0,2021,13,5,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1528266,1857,SB10,1,Introduced,2021-10-28,"U.S. Congressional, districts redrawn, Sec. 17-14-70 repealed; Sec. 17-14-70 added","U.S. Congressional, districts redrawn, Sec. 17-14-70 repealed; Sec. 17-14-70 added",999,Senate Finance and Taxation General Fund,2021-10-28,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,https://legiscan.com/AL/bill/SB10/2021/X2,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB10&WIN_TYPE=SELECTED_STATUS,Bobby Singleton | William Beasley | Vivian Figures | Malika Sanders-Fortier | Rodger Smitherman,D | D | D | D | D,Bobby Singleton,5,1,Read for the first time and referred to the Senate committee on Finance and Taxation General Fund,2,2439730,text,https://legiscan.com/AL/text/SB10/id/2439730,0,0,0,2021,0,5,0,D,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1382616,1756,HB1,1,Introduced,2021-02-02,"Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents","Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents",0,,2021-05-06,Indefinitely Postponed,https://legiscan.com/AL/bill/HB1/2021,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB1&WIN_TYPE=SELECTED_STATUS,Wes Allen | Chip Brown | Mike Holmes | Arnold Mooney | Phillip Pettus,R | R | R | R | R,Wes Allen,5,4,Indefinitely Postponed,5,2215587,text,https://legiscan.com/AL/text/HB1/id/2215587,0,0,0,2021,5,0,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1446249,1756,HB391,4,Passed,2021-04-20,"Schools, public K-12, athletic events allowing competition by one biological gender against another prohibited unless the event specifically includes both genders","Schools, public K-12, athletic events allowing competition by one biological gender against another prohibited unless the event specifically includes both genders",0,,2021-04-20,"Delivered to Governor at 2:12 p.m. on April 20, 2021.",https://legiscan.com/AL/bill/HB391/2021,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB391&WIN_TYPE=SELECTED_STATUS,Scott Stadthagen | Russell Bedsole | Chip Brown | Tracy Estes | Bob Fincher | Danny Garrett | James Hanes | Stephen Hurst | Gil Isbell | Jamie Kiel | Wes Kitchens | Nathaniel Ledbetter | Craig Lipscomb | Rhett Marques | Charlotte Meadows | Arnold Mooney | Parker Moore | Becky Nordgren | Ed Oliver | Chris Pringle | Rex Reynolds | Proncey Robertson | Ginny Shaver | Randall Shedd | Van Smith | Andrew Sorrell | Jeff Sorrells | Kyle South | David Standridge | Shane Stringer | Rodney Sullivan | Rich Wingo | Debbie Wood,R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R | R,Scott Stadthagen,33,26,"Delivered to Governor at 2:12 p.m. on April 20, 2021.",10,2373281,text,https://legiscan.com/AL/text/HB391/id/2373281,9,429,85,2021,33,0,0,R,True,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1382589,1756,SB5,1,Introduced,2021-02-02,"Firearms, possession and carrying of, certain requirements for, repealed or deleted, Secs. 9-11-304, 13A-11-50, 13A-11-51, 13A-11-52, 13A-11-59, 13A-11-71, 13A-11-73, 13A-11-74, repealed; Sec. 13A-11-61.2 am'd.","Firearms, possession and carrying of, certain requirements for, repealed or deleted, Secs. 9-11-304, 13A-11-50, 13A-11-51, 13A-11-52, 13A-11-59, 13A-11-71, 13A-11-73, 13A-11-74, repealed; Sec. 13A-11-61.2 am'd.",1004,Senate Judiciary,2021-02-02,Read for the first time and referred to the Senate committee on Judiciary,https://legiscan.com/AL/bill/SB5/2021,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB5&WIN_TYPE=SELECTED_STATUS,Gerald Allen,R,Gerald Allen,1,1,Read for the first time and referred to the Senate committee on Judiciary,2,2215560,text,https://legiscan.com/AL/text/SB5/id/2215560,0,0,0,2021,1,0,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1382584,1756,SB10,2,Engrossed,2021-03-02,"Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents","Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents",0,,2021-03-16,Health second Amendment Offered,https://legiscan.com/AL/bill/SB10/2021,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB10&WIN_TYPE=SELECTED_STATUS,Shay Shelnutt,R,Shay Shelnutt,1,17,Health second Amendment Offered,9,2215555,text,https://legiscan.com/AL/text/SB10/id/2215555,3,52,28,2021,1,0,0,R,False,False,False,Strong R,0.8213811420982736,0.17213969520935946,0.48636926889714993,0.02168525402726146,2021,harmful,aclu
AL,1562270,1836,HB150,1,Introduced,2022-01-18,"Public health, medical procedures for minors intended to alter appearance of gender prohibited, exceptions provided, criminal penalties provided","Public health, medical procedures for minors intended to alter appearance of gender prohibited, exceptions provided, criminal penalties provided",977,House Judiciary,2022-01-18,Read for the first time and referred to the House of Representatives committee on Judiciary,https://legiscan.com/AL/bill/HB150/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB150&WIN_TYPE=SELECTED_STATUS,Wes Allen,R,Wes Allen,1,1,Read for the first time and referred to the House of Representatives committee on Judiciary,1,2481875,text,https://legiscan.com/AL/text/HB150/id/2481875,0,0,0,2022,1,0,0,R,False,False,False,Strong R,0.7752,0.011370272027147632,0.49961089494163424,0.007782101167315175,2022,harmful,aclu
AL,1581942,1836,HB266,1,Introduced,2022-02-03,"Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony","Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony",0,,2022-03-02,Pending third reading on day 18 Favorable from Judiciary with 1 amendment,https://legiscan.com/AL/bill/HB266/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB266&WIN_TYPE=SELECTED_STATUS,Wes Allen,R,Wes Allen,1,4,Pending third reading on day 18 Favorable from Judiciary with 1 amendment,4,2504615,text,https://legiscan.com/AL/text/HB266/id/2504615,0,0,0,2022,1,0,0,R,False,False,False,Strong R,0.7752,0.011370272027147632,0.49961089494163424,0.007782101167315175,2022,harmful,aclu
AL,1586808,1836,HB322,4,Passed,2022-04-07,"Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instruction, limited regarding sexual orientation or gender identity, St. Board of Education to adopt rules","Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instruction, limited regarding sexual orientation or gender identity, St. Board of Education to adopt rules",0,,2022-04-07,"Delivered to Governor at 9:36 p.m. on April 7, 2022.",https://legiscan.com/AL/bill/HB322/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB322&WIN_TYPE=SELECTED_STATUS,Scott Stadthagen,R,Scott Stadthagen,1,21,"Delivered to Governor at 9:36 p.m. on April 7, 2022.",6,2566647,text,https://legiscan.com/AL/text/HB322/id/2566647,7,406,142,2022,1,0,0,R,True,False,False,Strong R,0.7752,0.011370272027147632,0.49961089494163424,0.007782101167315175,2022,harmful,aclu
AL,1595520,1836,HR83,1,Introduced,2022-02-22,"House of Representatives, Special Order Calendar","House of Representatives, Special Order Calendar",0,,2022-02-22,"Ball intended to vote ""Nay""",https://legiscan.com/AL/bill/HR83/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HR83&WIN_TYPE=SELECTED_STATUS,Rules,,Rules,1,3,"Ball intended to vote ""Nay""",1,2525216,text,https://legiscan.com/AL/text/HR83/id/2525216,1,61,33,2022,0,0,0,Other,False,False,False,Strong R,0.7752,0.011370272027147632,0.49961089494163424,0.007782101167315175,2022,harmful,aclu
AL,1581793,1836,SB184,4,Passed,2022-04-07,"Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony","Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing puberty blocking medication or surgeries, prohibited, exceptions, nurses and school personnel not to withhold information from parents, violations a Class C felony",0,,2022-04-07,Assigned Act No. 2022-289.,https://legiscan.com/AL/bill/SB184/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB184&WIN_TYPE=SELECTED_STATUS,Shay Shelnutt | Gerald Allen,R | R,Shay Shelnutt,2,18,Assigned Act No. 2022-289.,8,2566425,text,https://legiscan.com/AL/text/SB184/id/2566425,6,226,79,2022,2,0,0,R,True,False,False,Strong R,0.7752,0.011370272027147632,0.49961089494163424,0.007782101167315175,2022,harmful,aclu
AL,1753574,2014,HB261,4,Passed,2023-05-25,"Relating to two-year and four-year public institutions of higher education; to amend Section 16-1-52, Code of Alabama 1975, to prohibit a biological male from participating on an athletic team or sport designated for females; to prohibit a biological female from participating on an athletic team or sport designated for males; to prohibit adverse action against a public K-12 school or public two-year or four-year institution of higher education for complying with this act; to prohibit adverse action or retaliation against a student who reports a violation of this act; and to provide a remedy for any student who suffers harm or is directy deprived of an athletic opportunity as a result of a violation of this act.","Relating to two-year and four-year public institutions of higher education; to amend Section 16-1-52, Code of Alabama 1975, to prohibit a biological male from participating on an athletic team or sport designated for females; to prohibit a biological female from participating on an athletic team or sport designated for males; to prohibit adverse action against a public K-12 school or public two-year or four-year institution of higher education for complying with this act; to prohibit adverse action or retaliation against a student who reports a violation of this act; and to provide a remedy for any student who suffers harm or is directy deprived of an athletic opportunity as a result of a violation of this act.",0,,2023-05-25,Enacted,https://legiscan.com/AL/bill/HB261/2023,https://alison.legislature.state.al.us/bill-search,Susan DuBose,R,Susan DuBose,1,22,Enacted,9,2817698,text,https://legiscan.com/AL/text/HB261/id/2817698,7,452,36,2023,1,0,0,R,True,False,False,Strong R,0.780801209372638,0.23339787028073572,0.48223733938019653,0.0,2023,harmful,aclu
AL,1757924,2014,HB354,1,Introduced,2023-04-20,"Relating to education; to amend Section 2 of Act 2022-290, now appearing as Section 16-40A-5, Code of Alabama 1975; to prohibit classroom instruction related to gender identity or sexual orientation in public K-12 schools at certain grade levels and in any grade level in a manner that is not age or developmentally appropriate; to require parents to be notified if there is a change in services or monitoring relating to his or her child's mental, emotional, or physical health; to require parents to be notified of health care services available to students and to allow a parent to opt his or her child out; to require parental consent for certain health care screenings or questionnaires for K-12 students; to provide parents with procedures to express their concern with a local board of education's compliance with certain policies; and to provide a remedy in certain situations.","Relating to education; to amend Section 2 of Act 2022-290, now appearing as Section 16-40A-5, Code of Alabama 1975; to prohibit classroom instruction related to gender identity or sexual orientation in public K-12 schools at certain grade levels and in any grade level in a manner that is not age or developmentally appropriate; to require parents to be notified if there is a change in services or monitoring relating to his or her child's mental, emotional, or physical health; to require parents to be notified of health care services available to students and to allow a parent to opt his or her child out; to require parental consent for certain health care screenings or questionnaires for K-12 students; to provide parents with procedures to express their concern with a local board of education's compliance with certain policies; and to provide a remedy in certain situations.",971,House Education Policy,2023-04-20,Introduced and Referred to House Education Policy,https://legiscan.com/AL/bill/HB354/2023,https://alison.legislature.state.al.us/bill-search,Mack Butler,R,Mack Butler,1,2,Introduced and Referred to House Education Policy,2,2787944,text,https://legiscan.com/AL/text/HB354/id/2787944,0,0,0,2023,1,0,0,R,False,False,False,Strong R,0.780801209372638,0.23339787028073572,0.48223733938019653,0.0,2023,harmful,aclu
AL,1759761,2014,HB401,1,Introduced,2023-04-27,"Relating to crimes and offenses; to amend Sections 6-5-160, 6-5-160.1, and 13A-12-200.1, Code of Alabama 1975, to provide that the use of any premises to distribute material that is harmful to minors is a public nuisance; to further provide for the definition of ""sexual conduct;"" to make nonsubstantive, technical revisions to update the existing code language to current style; and in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Section 111.05 of the Constitution of Alabama of 2022.  ","Relating to crimes and offenses; to amend Sections 6-5-160, 6-5-160.1, and 13A-12-200.1, Code of Alabama 1975, to provide that the use of any premises to distribute material that is harmful to minors is a public nuisance; to further provide for the definition of ""sexual conduct;"" to make nonsubstantive, technical revisions to update the existing code language to current style; and in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Section 111.05 of the Constitution of Alabama of 2022.  ",2537,House State Government,2023-04-27,Introduced and Referred to House State Government,https://legiscan.com/AL/bill/HB401/2023,https://alison.legislature.state.al.us/bill-search,Arnold Mooney,R,Arnold Mooney,1,2,Introduced and Referred to House State Government,1,2793965,text,https://legiscan.com/AL/text/HB401/id/2793965,0,0,0,2023,1,0,0,R,False,False,False,Strong R,0.780801209372638,0.23339787028073572,0.48223733938019653,0.0,2023,harmful,aclu
AL,1759787,2014,HB405,1,Introduced,2023-04-27,"Relating to definitions used in state law; to provide legislative findings; to amend Section 1-1-1, Code of Alabama 1975, to define terms and delete obsolete or unnecessary definitions; to require vital statistics records to identify each individual as male or female at birth; and to make nonsubstantive, technical revisions to update the existing code language to current style.    ","Relating to definitions used in state law; to provide legislative findings; to amend Section 1-1-1, Code of Alabama 1975, to define terms and delete obsolete or unnecessary definitions; to require vital statistics records to identify each individual as male or female at birth; and to make nonsubstantive, technical revisions to update the existing code language to current style.    ",0,,2023-05-31,Indefinitely Postpone,https://legiscan.com/AL/bill/HB405/2023,https://alison.legislature.state.al.us/bill-search,Susan DuBose,R,Susan DuBose,1,8,Indefinitely Postpone,4,2793788,text,https://legiscan.com/AL/text/HB405/id/2793788,0,0,0,2023,1,0,0,R,False,False,False,Strong R,0.780801209372638,0.23339787028073572,0.48223733938019653,0.0,2023,harmful,aclu
