status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
INTRODUCED,California,AB 600,Pupil instruction: transgender concepts: opt out.,Leticia Castillo (R),(NO COMMITTEE),"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 2, 2026","FEBRUARY 2, 2026",state-ca-20252026-ab600
INTRODUCED,California,AB 281,Comprehensive sexual health education and human immunodeficiency virus (HIV) prevention education: outside consultants.,James Gallagher (R),EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 2, 2026","FEBRUARY 2, 2026",state-ca-20252026-ab281
PASSED UPPER,Tennessee,SB 1424,"Obscenity and Pornography - As introduced, expands the definition of ""adult-oriented establishment"", for purposes of imposing certain requirements, to include commercial establishments that offer sexually oriented material, devices, or paraphernalia, adult cabaret entertainment, or specified sexual activities, but for which such materials, devices, paraphernalia, entertainment, or activities are not the principal or predominant stock or trade. - Amends TCA Title 7, Chapter 51, Part 14.",Joey Hensley (R),JUDICIARY,"114TH REGULAR SESSION (2025-2026)
LATEST ACTION: JANUARY 27, 2026","JANUARY 27, 2026",state-tn-114-sb1424
PASSED UPPER,Tennessee,SB 226,"Professions and Occupations - As introduced, enacts the ""Tennessee Professionals' Freedom of Religion Act."" - Amends TCA Title 4.",Adam Lowe (R),COMMERCE AND LABOR,"114TH REGULAR SESSION (2025-2026)
LATEST ACTION: JANUARY 21, 2026","JANUARY 21, 2026",state-tn-114-sb226
INTRODUCED,Illinois,HB 1117,INTERSCHOLASTIC SPORTS-GENDER,"Regan Deering (R),Tony McCombie (R),Norine Hammond (R),+37 sponsors",RULES,"104TH REGULAR SESSION
LATEST ACTION: JANUARY 21, 2026","JANUARY 21, 2026",state-il-104th-hb1117
PASSED LOWER,Wisconsin,AB 100,Relating to: designating athletic sports and teams operated or sponsored by public schools or private schools participating in a parental choice program based on the sex of the participants.,"Barbara Dittrich (R),Dan Knodl (R),Scott Allen (R),+26 sponsors","EDUCATION, RULES, GOVERNMENT OPERATIONS, LABOR AND ECONOMIC DEVELOPMENT","2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 16, 2026","JANUARY 16, 2026",state-wi-2025-ab100
INTRODUCED,Wisconsin,AB 400,Relating to: a civil cause of action for a minor injured by a gender transition procedure.,"Amanda Nedweski (R),David Steffen (R),Scott Allen (R),+13 sponsors","JUDICIARY, RULES","2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 15, 2026","JANUARY 15, 2026",state-wi-2025-ab400
PASSED LOWER,Tennessee,HB 884,"Obscenity and Pornography - As introduced, expands the definition of ""adult-oriented establishment"", for purposes of imposing certain requirements, to include commercial establishments that offer sexually oriented material, devices, or paraphernalia, adult cabaret entertainment, or specified sexual activities, but for which such materials, devices, paraphernalia, entertainment, or activities are not the principal or predominant stock or trade. - Amends TCA Title 7, Chapter 51, Part 14.",Chris Todd (R),"CIVIL JUSTICE, CRIMINAL JUSTICE SUBCOMMITTEE, CIVIL JUSTICE SUBCOMMITTEE, JUDICIARY","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: JANUARY 14, 2026","JANUARY 14, 2026",state-tn-114-hb884
INTRODUCED,Alabama,HB 23,"Public preK-12 education; discussions of gender identity prohibited, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity and from referring to students by pronouns inconsistent with student's biological sex",Mack Butler (R),(NO COMMITTEE),"2026 REGULAR SESSION
LATEST ACTION: JANUARY 13, 2026","JANUARY 13, 2026",state-al-2026rs-hb23
INTRODUCED,South Carolina,H 3095,Birth Certificates,"Steven Long (R),Don Chapman (R),John McCravy (R),+6 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: JANUARY 13, 2026","JANUARY 13, 2026",state-sc-2025_2026-h3095
